user_id,diet_plan_type,meal_type,meal_data,timestamp
101,lose-weight,breakfast,Oatmeal with almond butter and a banana,2024-11-10 19:57:22
101,lose-weight,breakfast,Egg whites with spinach and whole-wheat toast,2024-11-10 19:57:22
101,lose-weight,lunch,Grilled chicken breast with quinoa and broccoli,2024-11-10 19:57:22
101,lose-weight,lunch,Salmon with sweet potato,2024-11-10 19:57:22
101,lose-weight,dinner,Baked cod with steamed asparagus,2024-11-10 19:57:22
101,lose-weight,dinner,Chicken stir-fry with bell peppers and brown rice,2024-11-10 19:57:22
101,lose-weight,breakfast,Oatmeal with almond butter and a banana,2024-11-10 19:59:45
101,lose-weight,breakfast,Egg whites with spinach and whole-wheat toast,2024-11-10 19:59:45
101,lose-weight,breakfast,Oatmeal with almond butter and a banana,2024-11-10 20:10:48
101,lose-weight,breakfast,Egg whites with spinach and whole-wheat toast,2024-11-10 20:10:48
101,lose-weight,lunch,Grilled chicken breast with quinoa and broccoli,2024-11-10 20:10:48
101,lose-weight,lunch,Salmon with sweet potato,2024-11-10 20:10:48
101,lose-weight,dinner,Baked cod with steamed asparagus,2024-11-10 20:10:48
101,lose-weight,dinner,Chicken stir-fry with bell peppers and brown rice,2024-11-10 20:10:48
101,lose-weight,breakfast,Oatmeal with almond butter and a banana,2024-11-10 20:31:44
101,lose-weight,breakfast,Egg whites with spinach and whole-wheat toast,2024-11-10 20:31:44
101,lose-weight,lunch,Grilled chicken breast with quinoa and broccoli,2024-11-10 20:31:44
101,lose-weight,lunch,Salmon with sweet potato,2024-11-10 20:31:44
101,lose-weight,dinner,Baked cod with steamed asparagus,2024-11-10 20:31:44
101,lose-weight,dinner,Chicken stir-fry with bell peppers and brown rice,2024-11-10 20:31:44
101,lose-weight,breakfast,Oatmeal with almond butter and a banana,2024-11-10 20:34:54
101,lose-weight,breakfast,Egg whites with spinach and whole-wheat toast,2024-11-10 20:34:54
101,lose-weight,lunch,Grilled chicken breast with quinoa and broccoli,2024-11-10 20:34:54
101,lose-weight,lunch,Salmon with sweet potato,2024-11-10 20:34:54
101,lose-weight,dinner,Baked cod with steamed asparagus,2024-11-10 20:34:54
101,lose-weight,dinner,Chicken stir-fry with bell peppers and brown rice,2024-11-10 20:34:54
101,lose-weight,breakfast,Oatmeal with almond butter and a banana,2024-11-11 09:04:35
101,lose-weight,breakfast,Egg whites with spinach and whole-wheat toast,2024-11-11 09:04:35
101,lose-weight,lunch,Grilled chicken breast with quinoa and broccoli,2024-11-11 09:04:35
101,lose-weight,lunch,Salmon with sweet potato,2024-11-11 09:04:35
101,lose-weight,dinner,Baked cod with steamed asparagus,2024-11-11 09:04:35
101,lose-weight,dinner,Chicken stir-fry with bell peppers and brown rice,2024-11-11 09:04:35
101,lose-weight,breakfast,Oatmeal with almond butter and a banana,2024-11-11 09:06:23
101,lose-weight,breakfast,Egg whites with spinach and whole-wheat toast,2024-11-11 09:06:23
101,lose-weight,lunch,Grilled chicken breast with quinoa and broccoli,2024-11-11 09:06:23
101,lose-weight,lunch,Salmon with sweet potato,2024-11-11 09:06:23
101,lose-weight,dinner,Baked cod with steamed asparagus,2024-11-11 09:06:23
101,lose-weight,dinner,Chicken stir-fry with bell peppers and brown rice,2024-11-11 09:06:23
101,lose-weight,breakfast,Oatmeal with almond butter and a banana,2024-11-11 18:12:33
101,lose-weight,breakfast,Egg whites with spinach and whole-wheat toast,2024-11-11 18:12:33
101,lose-weight,lunch,Grilled chicken breast with quinoa and broccoli,2024-11-11 18:12:33
101,lose-weight,lunch,Salmon with sweet potato,2024-11-11 18:12:33
101,lose-weight,dinner,Baked cod with steamed asparagus,2024-11-11 18:12:33
101,lose-weight,dinner,Chicken stir-fry with bell peppers and brown rice,2024-11-11 18:12:33
101,lose-weight,breakfast,Oatmeal with almond butter and a banana,2024-11-11 19:14:45
101,lose-weight,breakfast,Egg whites with spinach and whole-wheat toast,2024-11-11 19:14:45
101,lose-weight,lunch,Grilled chicken breast with quinoa and broccoli,2024-11-11 19:14:45
101,lose-weight,lunch,Salmon with sweet potato,2024-11-11 19:14:45
101,lose-weight,dinner,Baked cod with steamed asparagus,2024-11-11 19:14:45
101,lose-weight,dinner,Chicken stir-fry with bell peppers and brown rice,2024-11-11 19:14:45
101,gain-muscle,breakfast,Scrambled eggs with avocado and whole-grain toast,2024-11-11 19:37:48
101,gain-muscle,breakfast,Greek yogurt with granola,2024-11-11 19:37:48
101,gain-muscle,lunch,Grilled steak with sweet potato and steamed broccoli,2024-11-11 19:37:48
101,gain-muscle,lunch,Chicken with quinoa,2024-11-11 19:37:48
101,gain-muscle,dinner,Salmon with asparagus,2024-11-11 19:37:48
101,gain-muscle,dinner,Beef stir-fry with bell peppers and brown rice,2024-11-11 19:37:48
101,lose-weight,breakfast,Oatmeal with almond butter and a banana,2024-11-11 19:40:22
101,lose-weight,breakfast,Egg whites with spinach and whole-wheat toast,2024-11-11 19:40:22
101,lose-weight,lunch,Grilled chicken breast with quinoa and broccoli,2024-11-11 19:40:22
101,lose-weight,lunch,Salmon with sweet potato,2024-11-11 19:40:22
101,lose-weight,dinner,Baked cod with steamed asparagus,2024-11-11 19:40:22
101,lose-weight,dinner,Chicken stir-fry with bell peppers and brown rice,2024-11-11 19:40:22
101,lose-weight,breakfast,Oatmeal with almond butter and a banana,2024-11-11 19:41:38
101,lose-weight,breakfast,Egg whites with spinach and whole-wheat toast,2024-11-11 19:41:38
101,lose-weight,lunch,Grilled chicken breast with quinoa and broccoli,2024-11-11 19:41:38
101,lose-weight,lunch,Salmon with sweet potato,2024-11-11 19:41:38
101,lose-weight,dinner,Baked cod with steamed asparagus,2024-11-11 19:41:38
101,lose-weight,dinner,Chicken stir-fry with bell peppers and brown rice,2024-11-11 19:41:38
101,lose-weight,breakfast,Oatmeal with almond butter and a banana,2024-11-11 19:43:17
101,lose-weight,breakfast,Egg whites with spinach and whole-wheat toast,2024-11-11 19:43:17
101,lose-weight,lunch,Grilled chicken breast with quinoa and broccoli,2024-11-11 19:43:17
101,lose-weight,lunch,Salmon with sweet potato,2024-11-11 19:43:17
101,lose-weight,dinner,Baked cod with steamed asparagus,2024-11-11 19:43:17
101,lose-weight,dinner,Chicken stir-fry with bell peppers and brown rice,2024-11-11 19:43:17
102,gain-muscle,breakfast,Scrambled eggs with avocado and whole-grain toast,2024-11-12 09:13:39
102,gain-muscle,breakfast,Greek yogurt with granola,2024-11-12 09:13:39
102,gain-muscle,lunch,Grilled steak with sweet potato and steamed broccoli,2024-11-12 09:13:39
102,gain-muscle,lunch,Chicken with quinoa,2024-11-12 09:13:39
102,gain-muscle,dinner,Salmon with asparagus,2024-11-12 09:13:39
102,gain-muscle,dinner,Beef stir-fry with bell peppers and brown rice,2024-11-12 09:13:39
